,Latitude,Longitude,Measurement,Year,DensityClass
5182,16.6667,-40.45,0.002,2014,1
5183,18.0327,-63.0973,0.002,2014,1
5184,13.7395,-44.58,0.002,2014,1
5185,15.9535,-94.0104,0.002,2014,1
5186,20.2692,-31.3284,0.002,2014,1
5187,15.0556,-57.5334,0.002,2014,1
5188,14.7917,-55.6639,0.002,2014,1
5189,17.785,-44.9026,0.002,2014,1
5190,14.0467,-58.84,0.002,2014,1
5191,36.5472,-121.9303,0.002,2014,1
5192,20.4494,-86.9901,0.002,2014,1
5193,41.6319,-71.4039,0.002,2015,1
5194,-9.4369,46.2006,0.002,2015,1
5195,48.3996,-122.4946,0.002,2015,1
5196,25.1508,-80.5131,0.002,2015,1
5197,32.4079,-117.24,0.002,2015,1
5198,42.0,-49.1,0.002,2015,1
5199,-43.5715,172.7714,0.002,2015,1
5200,-9.4518,46.4253,0.002,2015,1
5201,-51.9142,-72.7369,0.002,2015,1
5202,45.4408,12.3215,0.002,2015,1
5203,30.0296,-16.0196,0.002,2015,1
5204,46.2293,-124.0234,0.002,2015,1
5205,-9.3892,46.1969,0.002,2015,1
5206,59.8575,-149.6314,0.002,2015,1
5207,-43.6101,146.8219,0.002,2015,1
5208,-29.71,-46.582,0.002,2015,1
5209,30.134,-15.8703,0.002,2015,1
5210,49.5267,-124.6334,0.002,2015,1
5211,-9.7736,47.5675,0.002,2015,1
5212,46.4506,-63.4617,0.002,2015,1
5213,30.1614,-15.8758,0.002,2015,1
5214,-9.3672,46.2413,0.002,2015,1
5215,-9.7045,46.5106,0.002,2015,1
5216,30.0284,-16.0573,0.002,2015,1
5217,-37.9237,144.9865,0.002,2015,1
5218,11.787,-86.514,0.002,2015,1
5219,18.0,-63.0,0.002,2015,1
5220,11.2572,-85.8775,0.002,2015,1
5221,33.9854,-119.6378,0.002,2015,1
5222,18.2081,-103.7606,0.002,2015,1
5223,57.0428,-135.325,0.002,2015,1
5224,46.4553,-63.2936,0.002,2015,1
5225,46.4322,-63.3183,0.002,2015,1
5226,36.9575,-122.0247,0.002,2015,1
5227,48.3688,-124.6248,0.002,2015,1
5228,11.324,-15.6545,0.002,2015,1
5229,0.314,-89.9471,0.002,2015,1
5230,24.8107,-80.828,0.002,2015,1
5231,60.1946,-145.3325,0.002,2015,1
5232,36.9572,-121.9669,0.002,2015,1
5233,16.7997,-87.8579,0.002,2015,1
5234,39.9537,-74.1979,0.002,2015,1
5235,26.95,-40.8333,0.002,2015,1
5236,16.8497,-87.7874,0.002,2015,1
5237,37.6307,-76.3384,0.002,2016,1
5238,14.1931,-60.8738,0.002,2016,1
5239,28.192,129.217,0.002,2016,1
5240,-8.2196,117.4853,0.002,2016,1
5241,-19.0224,-169.9229,0.002,2016,1
5242,-5.52,-106.54,0.002,2016,1
5243,-5.58,-111.4,0.002,2016,1
5244,37.7882,-122.4913,0.002,2016,1
5245,26.272,127.555,0.002,2016,1
5246,-52.9723,-60.0371,0.002,2017,1
5247,-21.0531,55.2238,0.002,2017,1
5248,41.4,-71.23,0.002004,2005,1
5249,7.34,-87.0,0.002036,2001,1
5250,-15.9,-149.55,0.002036,2002,1
5251,13.84,-64.9,0.002056,2000,1
5252,29.86,-77.94,0.002056,2001,1
5253,5.74,-128.9,0.002056,2002,1
5254,4.21,-157.2,0.002068,2012,1
